47200;стажер;26801;менеджер по социальным сетям;Icahn Enterprises;97%
44800;Стажер;100340;Фронтенд веб-разработчик;PNC Financial Services Group;94%
48800;временный;84525;менеджер по контролю качества;United Services Automobile Assn.;102%
52000;полный рабочий день;129896;инженер беспроводной сети;Hess;111%
51200;стажер;53944;менеджер по проведению конференций;Cairn Energy;105%
47200;Полная занятость;23196;Аналитик по обеспечению качества;Adani Ports and Special Economic Zone;98%
50400;временная;26119;классный руководитель;FedEx;104%
52000;контракт;40558;дизайнер пользовательского интерфейса;Ryder System;110%
52000;Временная;105343;Дизайнер интерфейсов;Zee Entertainment Enterprises;107%
48000;полный рабочий день;102069;свадебный консультант;CSX;102%
45600;контракт;130338;специалист по тестированию производительности;Вкусно и точка;96%
51200;контракт;117285;адвокат по семейному праву;TPG Telecom;108%
52000;неполный рабочий день;79071;инженер-механик;ThyssenKrupp AG;107%
44800;временная;127900;аналитик по сетевой безопасности;EnLink Midstream;92%
45600;полный рабочий день;92128;менеджер по работе с клиентами;NGL Energy Partners;97%
52000;неполный рабочий день;92028;бренд-менеджер по продукции;Bayer AG;107%
48000;неполный рабочий день;49100;социальный работник в школе;Deere;98%
44000;полный рабочий день;29318;создатель контента;Mondelez International;94%
44000;контракт;126630;Аналитик по доставке;3M;93%
52000;временный;48199;координатор по кадрам;KKR;109%
49600;полный рабочий день;64351;юридический секретарь;NGL Energy Partners;106%
51200;Стажер;118041;Семейная медсестра;EasyJet;107%
46400;Стажер;40723;Стратег по работе с клиентами;Otis Worldwide;97%
49600;Временная;127385;Бэкэнд разработчик;Oil Search;102%
48000;Временная;28043;Координатор цепочки поставок;HCL Technologies;98%
46400;Временная;81318;Координатор цепочки поставок;DTE Energy;95%
47200;Контракт;105370;B2B Консультант по продажам;Associated British Foods;98%
51200;неполный рабочий день;51537;инженер-строитель;Xcel Energy;105%
50400;стажер;93670;аналитик центра управления безопасностью;Deutsche Post DHL Group;104%
52000;стажер;56930;фронт-энд разработчик;Bodycote;107%
44000;Стажер;64185;Специалист по планированию налогов;Old Republic International;92%
52000;неполный рабочий день;101834;Координатор мероприятий;United Airlines Holdings;107%
45600;контракт;130962;клинический психолог;Tenet Healthcare;96%
52000;контракт;38044;инженер-электрик;Regions Financial;110%
49600;Временная;27725;Дизайнер по освещению;CBRE Group;102%
46400;неполный рабочий день;35273;Бизнес-аналитик;Отель Луна;95%
48000;стажер;103693;контент-писатель;Corning;99%
51200;временная;29884;дизайнер пользовательского интерфейса;Leidos Holdings;105%
45600;неполный рабочий день;104700;персональный налоговый консультант;Divi's Laboratories;94%
46400;полный рабочий день;47107;тестировщик автоматизированного оборудования;Tata Consumer Products;99%
44800;стажер;61246;руководитель отдела продаж;Fannie Mae;92%
44000;частичная занятость;43665;специалист по ИТ-поддержке;Spotify Technology S.A.;93%
49600;стажер;125427;специалист по работе с клиентами;Bajaj Auto;102%
52000;неполный рабочий день;57134;менеджер по социальным сетям;Renishaw;107%
44800;временный;55648;разработчик баз данных;News Corp.;93%
47200;Стажер;107738;Исследователь в области социальных наук;KKR;99%
44800;Временная;91636;Регистратор;Arconic;92%
51200;стажер;43166;штатная медсестра;Revlon;105%
47200;временная;99455;международный налоговый консультант;Dow;97%
45600;временный;21827;аналитик по рискам;Seaboard;95%
49600;временная;65648;логопед;Всезнайка;102%
44000;контракт;65183;региональный директор по продажам;Enterprise Products Partners;93%
47200;полный рабочий день;73840;консультант по вопросам психического здоровья;Bayer AG;100%
47200;частичная занятость;25713;Семейная медсестра-практикант;Carrier Global;100%
51200;Временная;14771;Градостроитель;UnitedHealth Group;105%
48000;Временная;90064;Менеджер по работе со стратегическими клиентами;Avnet;98%
50400;Стажер;48875;Исследователь пользователей;UGI;105%
45600;временный;18334;менеджер по работе с клиентами;Disney+;95%
52000;неполный рабочий день;45782;финансовый аналитик;General Electric;107%
52000;стажер;58759;техник по поддержке настольных компьютеров;Brighthouse Financial;107%
48800;временная;40875;художественный куратор;Deutsche Pfandbriefbank AG;100%
45600;Полная занятость;42159;Sales Account Executive;GlaxoSmithKline;94%
44800;контракт;121311;разработчик мобильных приложений;Starbucks;95%
52000;стажер;54212;Agile Project Manager;Hindalco Industries;107%
52000;Полная занятость;110983;инженер-строитель;Lincoln National;108%
44000;частичная занятость;85922;менеджер по обеспечению качества обслуживания;HCL Technologies;93%
47200;полный рабочий день;22971;аналитик по закупкам;Nestle India;100%
50400;стажер;87873;семейный консультант;Электрокомпоненты;104%
51200;стажер;77894;аналитик по логистике;Community Health Systems;105%
44800;стажер;58034;архитектор данных;Equitable Holdings;92%
51200;неполный рабочий день;128742;региональный директор по продажам;Bajaj Finserv;105%
46400;контракт;24654;аналитик по логистике;PulteGroup;98%
44800;неполный рабочий день;39267;дизайнер пользовательского интерфейса;Stockland Corporation;92%
52000;контракт;92865;аналитик по обеспечению качества;Group 1 Automotive;110%
51200;контракт;32898;аналитик по обеспечению качества;Altria Group;108%
48000;Полная занятость;93691;Специалист по документации;Reynolds American Inc.;99%
44000;полный рабочий день;76275;финансовый бухгалтер;Huntsman;94%
44800;контракт;49909;представитель по внутренним продажам;Вкусно и точка;95%
50400;контракт;14944;менеджер по работе со стратегическими клиентами;Republic Services;107%
44000;Стажер;129177;Аналитик по сетевой безопасности;Republic Services;92%
48800;Стажер;72619;Менеджер по инвентаризации;Continental AG;102%
44800;контракт;112909;инженер по автоматизированному тестированию;Tesla;95%
52000;Полная занятость;64602;Дизайнер пользовательского интерфейса;Continental Resources;108%
45600;Полная занятость;61676;торговый представитель;Henkel AG & Co. KGaA;94%
50400;стажер;106271;консультант по устойчивому развитию;WESCO International;104%
47200;временная;36167;инженер по электронному оборудованию;Unilever;97%
52000;временная;117330;специалист по системной интеграции;NRG Energy;107%
44800;Полная занятость;80811;Бренд-стратег;InterContinental Hotels Group;93%
44000;полный рабочий день;122985;инженер-электрик;Revlon;94%
48800;временная;18123;медсестра-практикант по оказанию неотложной помощи;Ceconomy AG;100%
46400;неполный рабочий день;103289;судебный адвокат;Constellation Brands;95%
48000;контракт;42479;инженер по сетевой безопасности;Interpublic Group;102%
45600;временная;25355;психолог-исследователь;Auto-Owners Insurance;94%
51200;неполный рабочий день;87550;координатор художественного образования;ODP;105%
46400;неполный рабочий день;38678;менеджер по привлечению талантов;Titan Company;95%
48800;контракт;61963;классный руководитель;страховая биржа Farmers;103%
44000;контракт;83361;специалист по контролю за запасами;Publix Super Markets;93%
46400;контракт;53541;корпоративный юрист;Otis Worldwide;98%
46400;неполный рабочий день;28546;разработчик баз данных SQL;US Foods Holding;95%
47200;временная;131928;менеджер по закупкам;Croda International;97%
50400;Стажер;31092;IT-аналитик;Travelers;105%
44000;Стажер;39646;Практикующая медсестра по оказанию неотложной помощи;Textron;92%
49600;стажер;71394;менеджер по работе с ключевыми клиентами;Ulta Beauty;102%
48800;временная;70396;креативный копирайтер;American Electric Power;100%
51200;Стажер;97571;Менеджер по закупкам;UnitedHealth Group;107%
47200;временная;84264;SEO-специалист;Tencent Holdings;97%
51200;Контракт;50052;фронт-энд разработчик;Otis Worldwide;107%
48800;Контракт;72807;Координатор мероприятий;Tullow Oil;102%
49600;полная занятость;130966;руководитель отдела по работе с клиентами;Qualcomm;100%
51200;контракт;102861;консультант по продажам B2B;AutoNation;108%
47200;неполный рабочий день;86718;разработчик баз данных;Peter Kiewit Sons;97%
44800;контракт;120930;менеджер строительных проектов;General Mills;95%
48000;полный рабочий день;16792;менеджер по социальным сетям;Western Digital;102%
48000;Полная занятость;25307;Instructional Designer;PNC Financial Services Group;99%
48800;частичная занятость;50004;контент-стратег;Farmers Insurance Exchange;104%
52000;стажер;106859;координатор обучения;CIMIC Group;107%
52000;Временная;15831;Координатор по подбору персонала;Alibaba Health Information Technology;107%
52000;неполный рабочий день;56816;менеджер по стратегическим партнерствам;Tenet Healthcare;107%
50400;Стажер;43783;Java бэкэнд разработчик;Exelon;105%
51200;неполный рабочий день;32405;руководитель группы продаж;SAP SE;105%
50400;временная;88586;детский логопед;IBM (International Business Machines Corporation);104%
44000;контракт;18697;инженер по большим данным;Fidelity Investments;93%
50400;стажер;12938;инженер по базам данных NoSQL;Intercontinental Exchange;104%
44800;стажер;28874;планировщик спроса;Power Grid Corporation of India;92%
48000;стажер;88454;свадебный дизайнер;Consolidated Edison;99%
48000;неполный рабочий день;75509;организатор мероприятий;Northrop Grumman;98%
48000;полный рабочий день;70223;техник по поддержке настольных компьютеров;Corteva;102%
44000;стажер;24942;портфельный менеджер;Icahn Enterprises;90%
49600;контракт;19832;гериатрическая медсестра-практикант;Colgate-Palmolive;105%
46400;временная;44367;JavaScript разработчик;SF Express;95%
44000;контракт;114433;менеджер по работе с клиентами;Huntsman;93%
47200;стажер;79091;координатор закупок;Dover;97%
52000;частичная занятость;69645;инженер по большим данным;Lendlease Group;110%
45600;Полная занятость;108139;Специалист по планированию перевозок;Asbury Automotive Group;94%
52000;Полная занятость;54319;менеджер по работе с ключевыми клиентами;TD Ameritrade Holding Corporation;108%
45600;временный;126754;логопед для взрослых;Britannia Industries;95%
44800;Контракт;126200;Координатор льгот;Muthoot Finance;93%
49600;контракт;57845;дизайнер интерьера;Dana;105%
44800;полный рабочий день;127707;инвестиционный аналитик;Aflac;95%
44800;стажер;67492;менеджер кампаний по электронной почте;Quanta Services;92%
48800;контракт;105454;специалист по устойчивому развитию;Ashtead Group;103%
48000;частичная занятость;67760;Разработчик серверных приложений;Glenmark Pharmaceuticals;102%
46400;полный рабочий день;31344;системный администратор;Eastman Chemical;99%
48000;неполный рабочий день;35925;инженер-проектировщик;Carnival Corporation & plc;98%
50400;временная;125215;координатор маркетинговых исследований;Adani Green Energy;104%
44000;контракт;102180;агент колл-центра;Textron;93%
44800;Временная;28776;Менеджер по работе с клиентами;Fiat Chrysler Automobiles N.V.;92%
48800;Полная занятость;98633;Дизайнер по охране окружающей среды;Газировка;101%
48000;контракт;50314;менеджер по работе с клиентами;BYD Company;102%
49600;Полная занятость;44564;Дизайнер пользовательского интерфейса;Delta Air Lines;103%
50400;временный;90785;IT бизнес-аналитик;Kinder Morgan;105%
48800;стажер;42637;дизайнер интерфейсов;Avnet;100%
44800;контракт;116311;аналитик социальных сетей;Workspace Group;95%
48000;временный;55939;Дизайнер пользовательского интерфейса;CDW;100%
50400;Стажер;68931;JavaScript разработчик;Tencent Holdings;105%
52000;контракт;17240;юрист по вопросам опеки над детьми;Halma;110%
47200;временная;126334;инженер беспроводных сетей;Lendlease Group;97%
46400;Стажер;97779;специалист по анализу данных;AES;97%
48800;контракт;123227;дизайнер взаимодействия;LKQ;103%
49600;временный;104205;специалист по клинической медсестре;Bajaj Auto;104%
47200;контракт;110052;юрист по опеке над детьми;Salesforce;100%
47200;контракт;16918;юридический секретарь;Siemens India;100%
52000;Стажер;124651;Бренд-менеджер по продукции;NextEra Energy;109%
48000;стажер;108319;аналитик по контролю качества;Computacenter;99%
52000;Полная занятость;31928;Специалист по анализу данных;ВК;108%
47200;контракт;132326;Sales Account Executive;Hershey;100%
52000;временная;55283;инженер по системам электропитания;TAG Immobilien AG;107%
50400;Полная занятость;128578;Специалист по сетевой безопасности;Блок;104%
44800;Полная занятость;78913;Менеджер по работе с клиентами;Linde plc;93%
47200;неполный рабочий день;48567;дизайнер коммерческого интерьера;Nucor;97%
